 ,f,|hNSNS/hBHBH|,arg(hNSNS/hBHBH) 
val#1959,1.085206811e+01,1.004051721e+00,-1.255000766e-03 
val#1960,1.085257431e+01,1.004045044e+00,-1.242271298e-03 
val#1961,1.085308059e+01,1.004032889e+00,-1.228986080e-03 
val#1962,1.085358697e+01,1.004015077e+00,-1.215156644e-03 
val#1963,1.085409343e+01,1.003991432e+00,-1.200798017e-03 
val#1964,1.085459997e+01,1.003961789e+00,-1.185929443e-03 
val#1965,1.085510661e+01,1.003925989e+00,-1.170573927e-03 
val#1966,1.085561333e+01,1.003883885e+00,-1.154759113e-03 
val#1967,1.085612013e+01,1.003835339e+00,-1.138517082e-03 
val#1968,1.085662703e+01,1.003780227e+00,-1.121884705e-03 
val#1969,1.085713401e+01,1.003718441e+00,-1.104903678e-03 
val#1970,1.085764108e+01,1.003649889e+00,-1.087620643e-03 
val#1971,1.085814823e+01,1.003574496e+00,-1.070087206e-03 
val#1972,1.085865547e+01,1.003492210e+00,-1.052360079e-03 
val#1973,1.085916280e+01,1.003402998e+00,-1.034500595e-03 
val#1974,1.085967021e+01,1.003306851e+00,-1.016574968e-03 
val#1975,1.086017772e+01,1.003203786e+00,-9.986539241e-04 
val#1976,1.086068530e+01,1.003093846e+00,-9.808123362e-04 
val#1977,1.086119298e+01,1.002977102e+00,-9.631289887e-04 
val#1978,1.086170074e+01,1.002853653e+00,-9.456858160e-04 
val#1979,1.086220859e+01,1.002723629e+00,-9.285677395e-04 
val#1980,1.086271653e+01,1.002587191e+00,-9.118618027e-04 
val#1981,1.086322455e+01,1.002444529e+00,-8.956566067e-04 
val#1982,1.086373266e+01,1.002295867e+00,-8.800413187e-04 
val#1983,1.086424086e+01,1.002141460e+00,-8.651051925e-04 
val#1984,1.086474915e+01,1.001981594e+00,-8.509362864e-04 
val#1985,1.086525752e+01,1.001816584e+00,-8.376209439e-04 
val#1986,1.086576598e+01,1.001646776e+00,-8.252426313e-04 
val#1987,1.086627453e+01,1.001472544e+00,-8.138810446e-04 
val#1988,1.086678316e+01,1.001294287e+00,-8.036111321e-04 
val#1989,1.086729188e+01,1.001112430e+00,-7.945024320e-04 
val#1990,1.086780069e+01,1.000927418e+00,-7.866179795e-04 
val#1991,1.086830959e+01,1.000739718e+00,-7.800136174e-04 
val#1992,1.086881857e+01,1.000549811e+00,-7.747371810e-04 
val#1993,1.086932764e+01,1.000358194e+00,-7.708281512e-04 
val#1994,1.086983680e+01,1.000165371e+00,-7.683169648e-04 
val#1995,1.087034605e+01,9.999718566e-01,-7.672246075e-04 
val#1996,1.087085538e+01,9.997781658e-01,-7.675625609e-04 
val#1997,1.087136480e+01,9.995848150e-01,-7.693325446e-04 
val#1998,1.087187431e+01,9.993923164e-01,-7.725266279e-04 
val#1999,1.087238391e+01,9.992011755e-01,-7.771273235e-04 
val#2000,1.087289359e+01,9.990118873e-01,-7.831078163e-04 
val#2001,1.087340336e+01,9.988249334e-01,-7.904326780e-04 
val#2002,1.087391322e+01,9.986407789e-01,-7.990580307e-04 
val#2003,1.087442317e+01,9.984598695e-01,-8.089324637e-04 
val#2004,1.087493320e+01,9.982826298e-01,-8.199974636e-04 
val#2005,1.087544333e+01,9.981094600e-01,-8.321884848e-04 
val#2006,1.087595354e+01,9.979407350e-01,-8.454356713e-04 
val#2007,1.087646383e+01,9.977768023e-01,-8.596645562e-04 
val#2008,1.087697422e+01,9.976179814e-01,-8.747972300e-04 
val#2009,1.087748469e+01,9.974645618e-01,-8.907531322e-04 
val#2010,1.087799525e+01,9.973168037e-01,-9.074497578e-04 
val#2011,1.087850590e+01,9.971749370e-01,-9.248036362e-04 
val#2012,1.087901664e+01,9.970391614e-01,-9.427313601e-04 
val#2013,1.087952747e+01,9.969096470e-01,-9.611498682e-04 
val#2014,1.088003838e+01,9.967865344e-01,-9.799774651e-04 
val#2015,1.088054938e+01,9.966699358e-01,-9.991344456e-04 
val#2016,1.088106047e+01,9.965599361e-01,-1.018543447e-03 
val#2017,1.088157165e+01,9.964565934e-01,-1.038130242e-03 
val#2018,1.088208291e+01,9.963599412e-01,-1.057823843e-03 
val#2019,1.088259426e+01,9.962699890e-01,-1.077557020e-03 
val#2020,1.088310570e+01,9.961867242e-01,-1.097266477e-03 
val#2021,1.088361723e+01,9.961101133e-01,-1.116893230e-03 
val#2022,1.088412885e+01,9.960401042e-01,-1.136382501e-03 
val#2023,1.088464056e+01,9.959766268e-01,-1.155683920e-03 
val#2024,1.088515235e+01,9.959195956e-01,-1.174751542e-03 
val#2025,1.088566423e+01,9.958689104e-01,-1.193543770e-03 
val#2026,1.088617620e+01,9.958244584e-01,-1.212023405e-03 
val#2027,1.088668826e+01,9.957861160e-01,-1.230157317e-03 
val#2028,1.088720041e+01,9.957537491e-01,-1.247916566e-03 
val#2029,1.088771264e+01,9.957272158e-01,-1.265276069e-03 
val#2030,1.088822497e+01,9.957063669e-01,-1.282214405e-03 
val#2031,1.088873738e+01,9.956910472e-01,-1.298713790e-03 
val#2032,1.088924988e+01,9.956810973e-01,-1.314759690e-03 
val#2033,1.088976247e+01,9.956763537e-01,-1.330340670e-03 
val#2034,1.089027515e+01,9.956766506e-01,-1.345448055e-03 
val#2035,1.089078791e+01,9.956818205e-01,-1.360076050e-03 
val#2036,1.089130077e+01,9.956916950e-01,-1.374221021e-03 
val#2037,1.089181371e+01,9.957061055e-01,-1.387881808e-03 
val#2038,1.089232674e+01,9.957248841e-01,-1.401059004e-03 
val#2039,1.089283986e+01,9.957478641e-01,-1.413755231e-03 
val#2040,1.089335307e+01,9.957748803e-01,-1.425974514e-03 
val#2041,1.089386637e+01,9.958057700e-01,-1.437722382e-03 
val#2042,1.089437976e+01,9.958403730e-01,-1.449005720e-03 
val#2043,1.089489323e+01,9.958785319e-01,-1.459832271e-03 
val#2044,1.089540680e+01,9.959200928e-01,-1.470211017e-03 
val#2045,1.089592045e+01,9.959649050e-01,-1.480151462e-03 
val#2046,1.089643419e+01,9.960128216e-01,-1.489663884e-03 
val#2047,1.089694802e+01,9.960636999e-01,-1.498759195e-03 
val#2048,1.089746194e+01,9.961174007e-01,-1.507448594e-03 
val#2049,1.089797595e+01,9.961737892e-01,-1.515743718e-03 
val#2050,1.089849004e+01,9.962327346e-01,-1.523656502e-03 
val#2051,1.089900423e+01,9.962941105e-01,-1.531198958e-03 
val#2052,1.089951851e+01,9.963577943e-01,-1.538383312e-03 
val#2053,1.090003287e+01,9.964236681e-01,-1.545221645e-03 
val#2054,1.090054732e+01,9.964916177e-01,-1.551726271e-03 
val#2055,1.090106186e+01,9.965615332e-01,-1.557909268e-03 
val#2056,1.090157649e+01,9.966333087e-01,-1.563782719e-03 
val#2057,1.090209121e+01,9.967068425e-01,-1.569358521e-03 
val#2058,1.090260602e+01,9.967820365e-01,-1.574648330e-03 
val#2059,1.090312092e+01,9.968587964e-01,-1.579663740e-03 
val#2060,1.090363591e+01,9.969370320e-01,-1.584416039e-03 
val#2061,1.090415099e+01,9.970166561e-01,-1.588916275e-03 
val#2062,1.090466615e+01,9.970975855e-01,-1.593175370e-03 
val#2063,1.090518141e+01,9.971797401e-01,-1.597203856e-03 
val#2064,1.090569675e+01,9.972630431e-01,-1.601011983e-03 
val#2065,1.090621219e+01,9.973474209e-01,-1.604609836e-03 
val#2066,1.090672771e+01,9.974328031e-01,-1.608007143e-03 
val#2067,1.090724332e+01,9.975191217e-01,-1.611213403e-03 
val#2068,1.090775902e+01,9.976063118e-01,-1.614237810e-03 
val#2069,1.090827481e+01,9.976943114e-01,-1.617089327e-03 
val#2070,1.090879069e+01,9.977830605e-01,-1.619776589e-03 
val#2071,1.090930667e+01,9.978725020e-01,-1.622307986e-03 
val#2072,1.090982272e+01,9.979625809e-01,-1.624691669e-03 
val#2073,1.091033887e+01,9.980532444e-01,-1.626935564e-03 
val#2074,1.091085511e+01,9.981444419e-01,-1.629047285e-03 
val#2075,1.091137144e+01,9.982361245e-01,-1.631034284e-03 
val#2076,1.091188786e+01,9.983282456e-01,-1.632903757e-03 
val#2077,1.091240437e+01,9.984207600e-01,-1.634662651e-03 
val#2078,1.091292096e+01,9.985136243e-01,-1.636317805e-03 
val#2079,1.091343765e+01,9.986067966e-01,-1.637875763e-03 
val#2080,1.091395443e+01,9.987002367e-01,-1.639342907e-03 
val#2081,1.091447129e+01,9.987939055e-01,-1.640725471e-03 
val#2082,1.091498825e+01,9.988877651e-01,-1.642029578e-03 
val#2083,1.091550530e+01,9.989817791e-01,-1.643261086e-03 
val#2084,1.091602243e+01,9.990759120e-01,-1.644425768e-03 
val#2085,1.091653966e+01,9.991701293e-01,-1.645529301e-03 
val#2086,1.091705697e+01,9.992643975e-01,-1.646577201e-03 
val#2087,1.091757438e+01,9.993586837e-01,-1.647574883e-03 
val#2088,1.091809187e+01,9.994529562e-01,-1.648527679e-03 
val#2089,1.091860946e+01,9.995471836e-01,-1.649440768e-03 
val#2090,1.091912713e+01,9.996413352e-01,-1.650319378e-03 
val#2091,1.091964490e+01,9.997353809e-01,-1.651168606e-03 
val#2092,1.092016275e+01,9.998292907e-01,-1.651993424e-03 
val#2093,1.092068070e+01,9.999230354e-01,-1.652798928e-03 
val#2094,1.092119873e+01,1.000016586e+00,-1.653590020e-03 
val#2095,1.092171686e+01,1.000109913e+00,-1.654371726e-03 
val#2096,1.092223507e+01,1.000202989e+00,-1.655148884e-03 
val#2097,1.092275338e+01,1.000295784e+00,-1.655926478e-03 
val#2098,1.092327178e+01,1.000388271e+00,-1.656709500e-03 
val#2099,1.092379026e+01,1.000480419e+00,-1.657502890e-03 
val#2100,1.092430884e+01,1.000572201e+00,-1.658311667e-03 
val#2101,1.092482751e+01,1.000663587e+00,-1.659140848e-03 
val#2102,1.092534626e+01,1.000754548e+00,-1.659995563e-03 
val#2103,1.092586511e+01,1.000845055e+00,-1.660880961e-03 
val#2104,1.092638405e+01,1.000935077e+00,-1.661802261e-03 
val#2105,1.092690308e+01,1.001024583e+00,-1.662764807e-03 
val#2106,1.092742219e+01,1.001113543e+00,-1.663773963e-03 
val#2107,1.092794140e+01,1.001201926e+00,-1.664835315e-03 
val#2108,1.092846070e+01,1.001289698e+00,-1.665954419e-03 
val#2109,1.092898009e+01,1.001376826e+00,-1.667137093e-03 
val#2110,1.092949957e+01,1.001463276e+00,-1.668389148e-03 
val#2111,1.093001914e+01,1.001549014e+00,-1.669716622e-03 
val#2112,1.093053881e+01,1.001634004e+00,-1.671125685e-03 
val#2113,1.093105856e+01,1.001718209e+00,-1.672622687e-03 
val#2114,1.093157840e+01,1.001801590e+00,-1.674214115e-03 
val#2115,1.093209833e+01,1.001884109e+00,-1.675906624e-03 
val#2116,1.093261836e+01,1.001965725e+00,-1.677707074e-03 
val#2117,1.093313847e+01,1.002046397e+00,-1.679622505e-03 
val#2118,1.093365868e+01,1.002126080e+00,-1.681660147e-03 
val#2119,1.093417897e+01,1.002204732e+00,-1.683827446e-03 
val#2120,1.093469936e+01,1.002282304e+00,-1.686132073e-03 
val#2121,1.093521984e+01,1.002358750e+00,-1.688581894e-03 
val#2122,1.093574041e+01,1.002434021e+00,-1.691184955e-03 
val#2123,1.093626107e+01,1.002508064e+00,-1.693949564e-03 
val#2124,1.093678182e+01,1.002580826e+00,-1.696884239e-03 
val#2125,1.093730266e+01,1.002652254e+00,-1.699997733e-03 
val#2126,1.093782359e+01,1.002722289e+00,-1.703298958e-03 
val#2127,1.093834462e+01,1.002790873e+00,-1.706797150e-03 
val#2128,1.093886573e+01,1.002857945e+00,-1.710501548e-03 
val#2129,1.093938694e+01,1.002923441e+00,-1.714421859e-03 
val#2130,1.093990823e+01,1.002987297e+00,-1.718567779e-03 
val#2131,1.094042962e+01,1.003049443e+00,-1.722949218e-03 
val#2132,1.094095110e+01,1.003109811e+00,-1.727576331e-03 
val#2133,1.094147267e+01,1.003168328e+00,-1.732459275e-03 
val#2134,1.094199433e+01,1.003224920e+00,-1.737608477e-03 
val#2135,1.094251608e+01,1.003279508e+00,-1.743034348e-03 
val#2136,1.094303793e+01,1.003332015e+00,-1.748747390e-03 
val#2137,1.094355986e+01,1.003382358e+00,-1.754758117e-03 
val#2138,1.094408189e+01,1.003430452e+00,-1.761077070e-03 
val#2139,1.094460401e+01,1.003476211e+00,-1.767714655e-03 
val#2140,1.094512621e+01,1.003519547e+00,-1.774681199e-03 
val#2141,1.094564851e+01,1.003560367e+00,-1.781986899e-03 
val#2142,1.094617091e+01,1.003598579e+00,-1.789641681e-03 
val#2143,1.094669339e+01,1.003634086e+00,-1.797655103e-03 
val#2144,1.094721596e+01,1.003666791e+00,-1.806036389e-03 
val#2145,1.094773863e+01,1.003696596e+00,-1.814794394e-03 
val#2146,1.094826139e+01,1.003723397e+00,-1.823937181e-03 
val#2147,1.094878424e+01,1.003747094e+00,-1.833472323e-03 
val#2148,1.094930718e+01,1.003767582e+00,-1.843406598e-03 
val#2149,1.094983021e+01,1.003784755e+00,-1.853745795e-03 
val#2150,1.095035333e+01,1.003798508e+00,-1.864494780e-03 
val#2151,1.095087655e+01,1.003808736e+00,-1.875657282e-03 
val#2152,1.095139985e+01,1.003815330e+00,-1.887235575e-03 
val#2153,1.095192325e+01,1.003818187e+00,-1.899230717e-03 
val#2154,1.095244674e+01,1.003817200e+00,-1.911641960e-03 
val#2155,1.095297033e+01,1.003812266e+00,-1.924466986e-03 
val#2156,1.095349400e+01,1.003803282e+00,-1.937701453e-03 
val#2157,1.095401777e+01,1.003790149e+00,-1.951338906e-03 
val#2158,1.095454162e+01,1.003772770e+00,-1.965370706e-03 
val#2159,1.095506557e+01,1.003751053e+00,-1.979785752e-03 
val#2160,1.095558962e+01,1.003724908e+00,-1.994570379e-03 
val#2161,1.095611375e+01,1.003694252e+00,-2.009708093e-03 
val#2162,1.095663797e+01,1.003659008e+00,-2.025179603e-03 
val#2163,1.095716229e+01,1.003619106e+00,-2.040962441e-03 
val#2164,1.095768670e+01,1.003574482e+00,-2.057031056e-03 
val#2165,1.095821120e+01,1.003525083e+00,-2.073356518e-03 
val#2166,1.095873580e+01,1.003470863e+00,-2.089906564e-03 
val#2167,1.095926048e+01,1.003411788e+00,-2.106645467e-03 
val#2168,1.095978526e+01,1.003347837e+00,-2.123533953e-03 
val#2169,1.096031013e+01,1.003278999e+00,-2.140529288e-03 
val#2170,1.096083509e+01,1.003205277e+00,-2.157585223e-03 
val#2171,1.096136015e+01,1.003126689e+00,-2.174652220e-03 
val#2172,1.096188529e+01,1.003043269e+00,-2.191677343e-03 
val#2173,1.096241053e+01,1.002955066e+00,-2.208604589e-03 
val#2174,1.096293586e+01,1.002862146e+00,-2.225375013e-03 
val#2175,1.096346129e+01,1.002764593e+00,-2.241927145e-03 
val#2176,1.096398680e+01,1.002662510e+00,-2.258197094e-03 
val#2177,1.096451241e+01,1.002556018e+00,-2.274119088e-03 
val#2178,1.096503811e+01,1.002445257e+00,-2.289625876e-03 
val#2179,1.096556390e+01,1.002330389e+00,-2.304649145e-03 
val#2180,1.096608979e+01,1.002211592e+00,-2.319120056e-03 
val#2181,1.096661577e+01,1.002089067e+00,-2.332969934e-03 
val#2182,1.096714184e+01,1.001963032e+00,-2.346130748e-03 
val#2183,1.096766800e+01,1.001833725e+00,-2.358535756e-03 
val#2184,1.096819425e+01,1.001701402e+00,-2.370120260e-03 
val#2185,1.096872060e+01,1.001566337e+00,-2.380822186e-03 
val#2186,1.096924704e+01,1.001428820e+00,-2.390582815e-03 
val#2187,1.096977358e+01,1.001289156e+00,-2.399347352e-03 
val#2188,1.097030020e+01,1.001147665e+00,-2.407065760e-03 
val#2189,1.097082692e+01,1.001004678e+00,-2.413693105e-03 
val#2190,1.097135373e+01,1.000860538e+00,-2.419190329e-03 
val#2191,1.097188064e+01,1.000715594e+00,-2.423524702e-03 
val#2192,1.097240763e+01,1.000570204e+00,-2.426670122e-03 
val#2193,1.097293472e+01,1.000424730e+00,-2.428607699e-03 
val#2194,1.097346191e+01,1.000279535e+00,-2.429325831e-03 
val#2195,1.097398918e+01,1.000134984e+00,-2.428820465e-03 
val#2196,1.097451655e+01,9.999914361e-01,-2.427095188e-03 
val#2197,1.097504401e+01,9.998492492e-01,-2.424161170e-03 
val#2198,1.097557157e+01,9.997087726e-01,-2.420037079e-03 
val#2199,1.097609921e+01,9.995703465e-01,-2.414748841e-03 
val#2200,1.097662695e+01,9.994343004e-01,-2.408329304e-03 
val#2201,1.097715479e+01,9.993009500e-01,-2.400817974e-03 
val#2202,1.097768271e+01,9.991705962e-01,-2.392260361e-03 
val#2203,1.097821073e+01,9.990435237e-01,-2.382707569e-03 
val#2204,1.097873885e+01,9.989199985e-01,-2.372215645e-03 
val#2205,1.097926705e+01,9.988002676e-01,-2.360844954e-03 
val#2206,1.097979535e+01,9.986845577e-01,-2.348659471e-03 
val#2207,1.098032374e+01,9.985730739e-01,-2.335726118e-03 
val#2208,1.098085223e+01,9.984660001e-01,-2.322114040e-03 
val#2209,1.098138081e+01,9.983634975e-01,-2.307893894e-03 
val#2210,1.098190948e+01,9.982657054e-01,-2.293137201e-03 
val#2211,1.098243825e+01,9.981727407e-01,-2.277915589e-03 
val#2212,1.098296711e+01,9.980846982e-01,-2.262300344e-03 
val#2213,1.098349606e+01,9.980016510e-01,-2.246361549e-03 
val#2214,1.098402510e+01,9.979236515e-01,-2.230167872e-03 
val#2215,1.098455424e+01,9.978507313e-01,-2.213785818e-03 
val#2216,1.098508348e+01,9.977829029e-01,-2.197279442e-03 
val#2217,1.098561280e+01,9.977201599e-01,-2.180709918e-03 
val#2218,1.098614222e+01,9.976624791e-01,-2.164135303e-03 
val#2219,1.098667174e+01,9.976098199e-01,-2.147610184e-03 
val#2220,1.098720134e+01,9.975621275e-01,-2.131185586e-03 
val#2221,1.098773104e+01,9.975193325e-01,-2.114908768e-03 
val#2222,1.098826084e+01,9.974813529e-01,-2.098823203e-03 
val#2223,1.098879072e+01,9.974480951e-01,-2.082968428e-03 
val#2224,1.098932071e+01,9.974194553e-01,-2.067380215e-03 
val#2225,1.098985078e+01,9.973953202e-01,-2.052090444e-03 
val#2226,1.099038095e+01,9.973755691e-01,-2.037127309e-03 
val#2227,1.099091121e+01,9.973600739e-01,-2.022515335e-03 
val#2228,1.099144157e+01,9.973487009e-01,-2.008275645e-03 
val#2229,1.099197202e+01,9.973413119e-01,-1.994425919e-03 
val#2230,1.099250256e+01,9.973377645e-01,-1.980980763e-03 
val#2231,1.099303320e+01,9.973379137e-01,-1.967951759e-03 
val#2232,1.099356394e+01,9.973416124e-01,-1.955347696e-03 
val#2233,1.099409476e+01,9.973487120e-01,-1.943174808e-03 
val#2234,1.099462568e+01,9.973590639e-01,-1.931436897e-03 
val#2235,1.099515670e+01,9.973725190e-01,-1.920135591e-03 
val#2236,1.099568780e+01,9.973889294e-01,-1.909270534e-03 
val#2237,1.099621901e+01,9.974081482e-01,-1.898839529e-03 
val#2238,1.099675030e+01,9.974300302e-01,-1.888838774e-03 
val#2239,1.099728169e+01,9.974544322e-01,-1.879263071e-03 
val#2240,1.099781318e+01,9.974812138e-01,-1.870105876e-03 
val#2241,1.099834476e+01,9.975102372e-01,-1.861359577e-03 
val#2242,1.099887643e+01,9.975413678e-01,-1.853015609e-03 
val#2243,1.099940820e+01,9.975744740e-01,-1.845064558e-03 
val#2244,1.099994006e+01,9.976094279e-01,-1.837496362e-03 
val#2245,1.100047201e+01,9.976461053e-01,-1.830300378e-03 
val#2246,1.100100407e+01,9.976843856e-01,-1.823465505e-03 
val#2247,1.100153621e+01,9.977241520e-01,-1.816980304e-03 
val#2248,1.100206845e+01,9.977652916e-01,-1.810833059e-03 
val#2249,1.100260078e+01,9.978076955e-01,-1.805011901e-03 
val#2250,1.100313321e+01,9.978512586e-01,-1.799504867e-03 
val#2251,1.100366573e+01,9.978958798e-01,-1.794299929e-03 
val#2252,1.100419835e+01,9.979414619e-01,-1.789385107e-03 
val#2253,1.100473106e+01,9.979879113e-01,-1.784748495e-03 
val#2254,1.100526387e+01,9.980351384e-01,-1.780378333e-03 
val#2255,1.100579677e+01,9.980830573e-01,-1.776262990e-03 
val#2256,1.100632976e+01,9.981315858e-01,-1.772391067e-03 
val#2257,1.100686285e+01,9.981806451e-01,-1.768751354e-03 
val#2258,1.100739604e+01,9.982301598e-01,-1.765332926e-03 
val#2259,1.100792932e+01,9.982800582e-01,-1.762125116e-03 
val#2260,1.100846269e+01,9.983302714e-01,-1.759117531e-03 
val#2261,1.100899616e+01,9.983807342e-01,-1.756300088e-03 
val#2262,1.100952972e+01,9.984313839e-01,-1.753662991e-03 
val#2263,1.101006338e+01,9.984821612e-01,-1.751196799e-03 
val#2264,1.101059714e+01,9.985330093e-01,-1.748892354e-03 
val#2265,1.101113098e+01,9.985838746e-01,-1.746740835e-03 
val#2266,1.101166493e+01,9.986347054e-01,-1.744733716e-03 
val#2267,1.101219897e+01,9.986854532e-01,-1.742862816e-03 
val#2268,1.101273310e+01,9.987360717e-01,-1.741120247e-03 
val#2269,1.101326733e+01,9.987865167e-01,-1.739498445e-03 
val#2270,1.101380165e+01,9.988367464e-01,-1.737990141e-03 
val#2271,1.101433607e+01,9.988867212e-01,-1.736588382e-03 
val#2272,1.101487058e+01,9.989364033e-01,-1.735286471e-03 
val#2273,1.101540519e+01,9.989857570e-01,-1.734078029e-03 
val#2274,1.101593989e+01,9.990347483e-01,-1.732956934e-03 
val#2275,1.101647469e+01,9.990833451e-01,-1.731917338e-03 
val#2276,1.101700959e+01,9.991315167e-01,-1.730953636e-03 
val#2277,1.101754457e+01,9.991792342e-01,-1.730060506e-03 
val#2278,1.101807966e+01,9.992264703e-01,-1.729232833e-03 
val#2279,1.101861484e+01,9.992731988e-01,-1.728465750e-03 
val#2280,1.101915011e+01,9.993193950e-01,-1.727754606e-03 
val#2281,1.101968548e+01,9.993650354e-01,-1.727094980e-03 
val#2282,1.102022095e+01,9.994100979e-01,-1.726482634e-03 
val#2283,1.102075651e+01,9.994545614e-01,-1.725913535e-03 
val#2284,1.102129217e+01,9.994984060e-01,-1.725383845e-03 
val#2285,1.102182792e+01,9.995416126e-01,-1.724889897e-03 
val#2286,1.102236377e+01,9.995841633e-01,-1.724428201e-03 
val#2287,1.102289971e+01,9.996260409e-01,-1.723995432e-03 
val#2288,1.102343575e+01,9.996672294e-01,-1.723588413e-03 
val#2289,1.102397188e+01,9.997077132e-01,-1.723204121e-03 
val#2290,1.102450811e+01,9.997474778e-01,-1.722839687e-03 
val#2291,1.102504444e+01,9.997865092e-01,-1.722492359e-03 
val#2292,1.102558086e+01,9.998247941e-01,-1.722159538e-03 
val#2293,1.102611738e+01,9.998623201e-01,-1.721838717e-03 
val#2294,1.102665399e+01,9.998990751e-01,-1.721527530e-03 
val#2295,1.102719070e+01,9.999350478e-01,-1.721223721e-03 
val#2296,1.102772750e+01,9.999702273e-01,-1.720925127e-03 
val#2297,1.102826440e+01,1.000004603e+00,-1.720629699e-03 
val#2298,1.102880140e+01,1.000038166e+00,-1.720335482e-03 
val#2299,1.102933849e+01,1.000070905e+00,-1.720040619e-03 
val#2300,1.102987568e+01,1.000102813e+00,-1.719743335e-03 
val#2301,1.103041296e+01,1.000133880e+00,-1.719441936e-03 
val#2302,1.103095034e+01,1.000164099e+00,-1.719134826e-03 
val#2303,1.103148782e+01,1.000193461e+00,-1.718820472e-03 
val#2304,1.103202539e+01,1.000221959e+00,-1.718497420e-03 
val#2305,1.103256306e+01,1.000249586e+00,-1.718164306e-03 
val#2306,1.103310082e+01,1.000276335e+00,-1.717819808e-03 
val#2307,1.103363868e+01,1.000302199e+00,-1.717462699e-03 
val#2308,1.103417664e+01,1.000327173e+00,-1.717091806e-03 
val#2309,1.103471469e+01,1.000351250e+00,-1.716706028e-03 
val#2310,1.103525284e+01,1.000374425e+00,-1.716304327e-03 
val#2311,1.103579109e+01,1.000396691e+00,-1.715885731e-03 
val#2312,1.103632943e+01,1.000418045e+00,-1.715449334e-03 
val#2313,1.103686786e+01,1.000438480e+00,-1.714994290e-03 
val#2314,1.103740640e+01,1.000457993e+00,-1.714519825e-03 
val#2315,1.103794503e+01,1.000476579e+00,-1.714025225e-03 
val#2316,1.103848375e+01,1.000494234e+00,-1.713509842e-03 
val#2317,1.103902258e+01,1.000510953e+00,-1.712973104e-03 
val#2318,1.103956150e+01,1.000526735e+00,-1.712414499e-03 
val#2319,1.104010051e+01,1.000541574e+00,-1.711833594e-03 
val#2320,1.104063963e+01,1.000555468e+00,-1.711230027e-03 
val#2321,1.104117883e+01,1.000568415e+00,-1.710603516e-03 
val#2322,1.104171814e+01,1.000580412e+00,-1.709953856e-03 
val#2323,1.104225754e+01,1.000591457e+00,-1.709280931e-03 
val#2324,1.104279704e+01,1.000601548e+00,-1.708584712e-03 
val#2325,1.104333664e+01,1.000610684e+00,-1.707865261e-03 
val#2326,1.104387633e+01,1.000618864e+00,-1.707122742e-03 
val#2327,1.104441612e+01,1.000626088e+00,-1.706357420e-03 
val#2328,1.104495600e+01,1.000632355e+00,-1.705569670e-03 
val#2329,1.104549598e+01,1.000637666e+00,-1.704759985e-03 
val#2330,1.104603606e+01,1.000642022e+00,-1.703928978e-03 
val#2331,1.104657624e+01,1.000645424e+00,-1.703077394e-03 
val#2332,1.104711651e+01,1.000647875e+00,-1.702206113e-03 
val#2333,1.104765688e+01,1.000649376e+00,-1.701316164e-03 
val#2334,1.104819735e+01,1.000649933e+00,-1.700408730e-03 
val#2335,1.104873791e+01,1.000649548e+00,-1.699485152e-03 
val#2336,1.104927857e+01,1.000648227e+00,-1.698546950e-03 
val#2337,1.104981933e+01,1.000645975e+00,-1.697595821e-03 
val#2338,1.105036019e+01,1.000642799e+00,-1.696633655e-03 
val#2339,1.105090114e+01,1.000638707e+00,-1.695662542e-03 
val#2340,1.105144219e+01,1.000633708e+00,-1.694684790e-03 
val#2341,1.105198333e+01,1.000627811e+00,-1.693702920e-03 
val#2342,1.105252458e+01,1.000621026e+00,-1.692719691e-03 
val#2343,1.105306592e+01,1.000613367e+00,-1.691738098e-03 
val#2344,1.105360735e+01,1.000604847e+00,-1.690761396e-03 
val#2345,1.105414889e+01,1.000595480e+00,-1.689793098e-03 
val#2346,1.105469052e+01,1.000585283e+00,-1.688836986e-03 
val#2347,1.105523225e+01,1.000574274e+00,-1.687897117e-03 
val#2348,1.105577408e+01,1.000562473e+00,-1.686977841e-03 
val#2349,1.105631600e+01,1.000549900e+00,-1.686083789e-03 
val#2350,1.105685802e+01,1.000536580e+00,-1.685219900e-03 
val#2351,1.105740014e+01,1.000522536e+00,-1.684391401e-03 
val#2352,1.105794236e+01,1.000507797e+00,-1.683603829e-03 
val#2353,1.105848467e+01,1.000492391e+00,-1.682863005e-03 
val#2354,1.105902709e+01,1.000476351e+00,-1.682175053e-03 
val#2355,1.105956959e+01,1.000459709e+00,-1.681546392e-03 
val#2356,1.106011220e+01,1.000442503e+00,-1.680983705e-03 
val#2357,1.106065491e+01,1.000424770e+00,-1.680493937e-03 
val#2358,1.106119771e+01,1.000406552e+00,-1.680084287e-03 
val#2359,1.106174061e+01,1.000387892e+00,-1.679762173e-03 
val#2360,1.106228361e+01,1.000368838e+00,-1.679535209e-03 
val#2361,1.106282670e+01,1.000349438e+00,-1.679411159e-03 
val#2362,1.106336989e+01,1.000329744e+00,-1.679397920e-03 
val#2363,1.106391318e+01,1.000309811e+00,-1.679503476e-03 
val#2364,1.106445657e+01,1.000289696e+00,-1.679735813e-03 
val#2365,1.106500006e+01,1.000269460e+00,-1.680102914e-03 
val#2366,1.106554364e+01,1.000249165e+00,-1.680612661e-03 
val#2367,1.106608733e+01,1.000228877e+00,-1.681272759e-03 
val#2368,1.106663111e+01,1.000208664e+00,-1.682090697e-03 
