 ,f,|hNSNS/hBHBH|,arg(hNSNS/hBHBH) 
val#5612,1.361977344e+01,9.945382993e-01,-1.894758411e-02 
val#5613,1.362093782e+01,9.944266747e-01,-1.898877046e-02 
val#5614,1.362210257e+01,9.943253172e-01,-1.903111881e-02 
val#5615,1.362326769e+01,9.942348824e-01,-1.907467979e-02 
val#5616,1.362443317e+01,9.941560539e-01,-1.911950059e-02 
val#5617,1.362559902e+01,9.940895409e-01,-1.916562342e-02 
val#5618,1.362676523e+01,9.940360754e-01,-1.921308415e-02 
val#5619,1.362793181e+01,9.939964087e-01,-1.926191050e-02 
val#5620,1.362909876e+01,9.939713063e-01,-1.931212009e-02 
val#5621,1.363026607e+01,9.939615422e-01,-1.936371833e-02 
val#5622,1.363143375e+01,9.939678915e-01,-1.941669609e-02 
val#5623,1.363260180e+01,9.939911222e-01,-1.947102722e-02 
val#5624,1.363377021e+01,9.940319848e-01,-1.952666591e-02 
val#5625,1.363493899e+01,9.940912016e-01,-1.958354413e-02 
val#5626,1.363610814e+01,9.941694526e-01,-1.964156894e-02 
val#5627,1.363727765e+01,9.942673621e-01,-1.970062000e-02 
val#5628,1.363844754e+01,9.943854824e-01,-1.976054733e-02 
val#5629,1.363961779e+01,9.945242766e-01,-1.982116945e-02 
val#5630,1.364078841e+01,9.946841002e-01,-1.988227192e-02 
val#5631,1.364195939e+01,9.948651830e-01,-1.994360684e-02 
val#5632,1.364313075e+01,9.950676092e-01,-2.000489300e-02 
val#5633,1.364430248e+01,9.952912989e-01,-2.006581710e-02 
val#5634,1.364547457e+01,9.955359904e-01,-2.012603634e-02 
val#5635,1.364664703e+01,9.958012233e-01,-2.018518202e-02 
val#5636,1.364781987e+01,9.960863248e-01,-2.024286478e-02 
val#5637,1.364899307e+01,9.963903994e-01,-2.029868112e-02 
val#5638,1.365016664e+01,9.967123217e-01,-2.035222117e-02 
val#5639,1.365134059e+01,9.970507344e-01,-2.040307776e-02 
val#5640,1.365251490e+01,9.974040522e-01,-2.045085632e-02 
val#5641,1.365368958e+01,9.977704715e-01,-2.049518533e-02 
val#5642,1.365486464e+01,9.981479853e-01,-2.053572701e-02 
val#5643,1.365604006e+01,9.985344056e-01,-2.057218765e-02 
val#5644,1.365721586e+01,9.989273910e-01,-2.060432711e-02 
val#5645,1.365839203e+01,9.993244802e-01,-2.063196705e-02 
val#5646,1.365956857e+01,9.997231290e-01,-2.065499732e-02 
val#5647,1.366074548e+01,1.000120752e+00,-2.067338022e-02 
val#5648,1.366192276e+01,1.000514764e+00,-2.068715237e-02 
