value number,time,chieff,deltachi,J,phiz,thetaL 
val#66,1.134101851e+09,4.316170872e-01,7.004533387e-02,2.924950655e+00,8.698879238e-01,-8.706196595e-01,3.009097330e-02,7.221988185e-02,4.315906016e-01 
val#67,1.151285213e+09,4.316169529e-01,7.005639134e-02,2.924916711e+00,8.831508298e-01,-8.838915671e-01,3.007522616e-02,7.221985757e-02,4.315906019e-01 
val#68,1.168468574e+09,4.316168179e-01,7.006749981e-02,2.924882764e+00,8.964164620e-01,-8.971661312e-01,3.005939599e-02,7.221983328e-02,4.315906022e-01 
val#69,1.185651935e+09,4.316166823e-01,7.007865904e-02,2.924848815e+00,9.096848334e-01,-9.104433644e-01,3.004348301e-02,7.221980898e-02,4.315906025e-01 
val#70,1.202835297e+09,4.316165462e-01,7.008986877e-02,2.924814862e+00,9.229559572e-01,-9.237232796e-01,3.002748744e-02,7.221978469e-02,4.315906028e-01 
val#71,1.220018658e+09,4.316164094e-01,7.010112875e-02,2.924780906e+00,9.362298465e-01,-9.370058894e-01,3.001140952e-02,7.221976039e-02,4.315906031e-01 
val#72,1.237202020e+09,4.316162719e-01,7.011243874e-02,2.924746947e+00,9.495065144e-01,-9.502912069e-01,2.999524948e-02,7.221973609e-02,4.315906034e-01 
val#73,1.254385381e+09,4.316161339e-01,7.012379849e-02,2.924712986e+00,9.627859740e-01,-9.635792447e-01,2.997900754e-02,7.221971179e-02,4.315906037e-01 
val#74,1.271568742e+09,4.316159953e-01,7.013520773e-02,2.924679021e+00,9.760682388e-01,-9.768700159e-01,2.996268394e-02,7.221968748e-02,4.315906040e-01 
val#75,1.288752104e+09,4.316158560e-01,7.014666622e-02,2.924645053e+00,9.893533218e-01,-9.901635332e-01,2.994627891e-02,7.221966317e-02,4.315906043e-01 
val#76,1.305935465e+09,4.316157162e-01,7.015817370e-02,2.924611082e+00,1.002641236e+00,-1.003459810e+00,2.992979269e-02,7.221963886e-02,4.315906046e-01 
val#77,1.323118826e+09,4.316155758e-01,7.016972992e-02,2.924577108e+00,1.015931996e+00,-1.016758858e+00,2.991322552e-02,7.221961454e-02,4.315906049e-01 
val#78,1.340302188e+09,4.316154347e-01,7.018133461e-02,2.924543132e+00,1.029225614e+00,-1.030060692e+00,2.989657765e-02,7.221959022e-02,4.315906052e-01 
val#79,1.357485549e+09,4.316152931e-01,7.019298752e-02,2.924509152e+00,1.042522103e+00,-1.043365324e+00,2.987984930e-02,7.221956590e-02,4.315906055e-01 
val#80,1.374668911e+09,4.316151509e-01,7.020468839e-02,2.924475169e+00,1.055821477e+00,-1.056672768e+00,2.986304072e-02,7.221954157e-02,4.315906058e-01 
val#81,1.391852272e+09,4.316150081e-01,7.021643695e-02,2.924441183e+00,1.069123750e+00,-1.069983036e+00,2.984615216e-02,7.221951724e-02,4.315906061e-01 
val#82,1.409035633e+09,4.316148647e-01,7.022823295e-02,2.924407194e+00,1.082428934e+00,-1.083296141e+00,2.982918387e-02,7.221949291e-02,4.315906064e-01 
val#83,1.426218995e+09,4.316147208e-01,7.024007611e-02,2.924373202e+00,1.095737044e+00,-1.096612097e+00,2.981213608e-02,7.221946857e-02,4.315906067e-01 
val#84,1.443402356e+09,4.316145763e-01,7.025196618e-02,2.924339207e+00,1.109048093e+00,-1.109930917e+00,2.979500906e-02,7.221944424e-02,4.315906070e-01 
val#85,1.460585718e+09,4.316144312e-01,7.026390289e-02,2.924305209e+00,1.122362094e+00,-1.123252614e+00,2.977780306e-02,7.221941989e-02,4.315906073e-01 
val#86,1.477769079e+09,4.316142855e-01,7.027588597e-02,2.924271208e+00,1.135679061e+00,-1.136577202e+00,2.976051832e-02,7.221939555e-02,4.315906076e-01 
val#87,1.494952440e+09,4.316141393e-01,7.028791515e-02,2.924237204e+00,1.148999008e+00,-1.149904693e+00,2.974315511e-02,7.221937120e-02,4.315906079e-01 
val#88,1.512135802e+09,4.316139925e-01,7.029999017e-02,2.924203197e+00,1.162321948e+00,-1.163235102e+00,2.972571367e-02,7.221934685e-02,4.315906082e-01 
val#89,1.529319163e+09,4.316138451e-01,7.031211074e-02,2.924169187e+00,1.175647895e+00,-1.176568441e+00,2.970819427e-02,7.221932250e-02,4.315906085e-01 
